Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,93.9916,23.1168,424.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,93.7658,23.1771,424.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,93.5865,23.1812,424.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,93.2223,23.3346,423.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,92.9422,23.43,423.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,92.5225,23.5004,423.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,92.39,23.5223,422.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,92.2705,23.3383,422.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,92.1384,22.8615,421.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,91.9915,22.4596,421.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,91.949,21.9622,420.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,92.1931,21.4369,419.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,92.7107,20.6889,418.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,92.9457,20.0095,418.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,92.9198,19.6058,417.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,92.8413,19.2452,417.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,92.7558,18.9399,416.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,92.6915,18.757,416.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,92.5075,18.7981,415.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,92.4698,18.6865,414.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,92.9681,18.7471,413.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,92.7798,18.7177,413.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,92.326,18.9903,412.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,92.112,19.109,412.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,91.6931,19.4991,412.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,91.6564,19.7207,411.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,91.5532,20.0064,410.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,91.6687,20.1498,410.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,91.351,20.5405,409.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,91.7533,20.7033,408.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,92.0521,21.0049,407.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,92.3198,21.3739,406.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,92.8671,21.413,406.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,92.8194,21.769,405.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,93.0105,22.337,404.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,93.9039,22.4414,403.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,94.101,22.8201,402.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,94.5711,23.3278,401.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,95.4627,24.0879,400.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
