Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,199.649,309.159,313.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,199.492,308.905,313.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,199.347,308.656,313.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,199.271,308.354,313.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,199.205,308.003,313.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,199.142,307.66,313.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,199.096,307.417,314.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,199.049,307.309,314.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,198.987,307.207,314.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,198.717,307.101,314.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,198.508,306.973,314.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,198.28,306.809,314.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,197.736,306.848,314.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,196.776,306.877,314.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,196.353,306.733,314.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,195.813,306.641,314.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,195.367,306.574,314.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,194.913,306.626,314.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,194.424,306.526,314.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,193.812,306.722,314.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,193.254,306.986,314.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,193.039,307.147,314.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,192.929,307.385,313.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,192.981,307.842,313.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,192.907,308.205,313.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,192.863,308.485,313.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,192.938,308.809,312.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,192.663,309.122,312.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,192.402,309.271,311.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,192.175,309.556,310.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,191.363,310.1,310.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,190.696,310.212,309.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,190.195,310.529,308.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,189.598,310.701,308.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,188.984,310.986,307.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,187.745,311.579,306.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,186.915,311.789,305.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,185.852,312.321,304.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,184.473,313.132,303.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,183.657,313.801,302.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,182.408,314.504,302.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,181.624,315.109,300.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,180.912,315.718,299.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,179.922,316.496,298.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,179.018,317.206,298.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,178.267,317.954,297.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,177.191,319.173,296.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,176.248,320.139,295.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,175.675,321.258,294.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,174.846,322.804,293.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,174.305,323.951,292.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,173.853,325.029,292.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,173.399,326.024,291.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,172.597,327.164,290.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,172.11,328.034,289.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,171.614,328.891,288.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,171.03,329.789,288.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,170.164,330.952,287.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,170.042,331.653,286.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,169.669,332.185,286.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,169.408,332.782,285.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,169.22,332.938,284.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,169.074,333.148,283.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,168.883,333.32,283.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,168.546,333.426,282.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,168.389,333.602,282.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,168.504,333.821,281.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,168.954,334.156,281.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,169.576,334.514,280.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,170.09,334.893,280.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,170.65,335.251,279.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,171.276,335.897,279.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
