Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,325.94,9.21113,383.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,324.885,9.61358,383.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,324.025,9.93716,383.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,323.348,10.0121,383.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,322.563,10.2814,383.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,321.46,10.7152,383.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,320.536,11.1645,383.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,319.565,11.6031,383.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,318.945,12.0583,383.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,317.813,12.6846,383.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,316.996,13.2045,383.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,316.131,13.6929,383.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,314.659,14.601,382.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,313.471,15.4068,383.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,311.484,16.7627,382.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,310.858,17.6364,382.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,308.503,19.1214,382.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,306.963,20.4031,382.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,304.934,21.6651,382.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,302.867,23.0628,382.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,301.041,24.2138,382.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,298.754,25.6208,382.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,296.407,27.1219,382.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,293.611,28.6105,382.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,292.636,29.6065,380.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,289.805,31.3545,381.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,287.295,33.0549,381.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,285.212,34.6762,381.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,283.27,36.3438,380.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,281.231,38.1361,380.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,278.54,40.0995,380.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,276.341,41.9795,380.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
