Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,89.2622,105.158,403.421,,,,,,,,,,,,,,,,,,,,,,,,
2,0,89.2982,105.451,403.342,,,,,,,,,,,,,,,,,,,,,,,,
3,0,89.4629,105.884,403.107,,,,,,,,,,,,,,,,,,,,,,,,
4,0,89.6494,106.284,402.9,,,,,,,,,,,,,,,,,,,,,,,,
5,0,89.8251,106.71,402.445,,,,,,,,,,,,,,,,,,,,,,,,
6,0,89.9006,107.105,402.203,,,,,,,,,,,,,,,,,,,,,,,,
7,0,89.4146,107.598,402.059,,,,,,,,,,,,,,,,,,,,,,,,
8,0,89.2082,107.677,401.825,,,,,,,,,,,,,,,,,,,,,,,,
9,0,89.1056,107.611,401.664,,,,,,,,,,,,,,,,,,,,,,,,
10,0,88.9291,107.607,401.482,,,,,,,,,,,,,,,,,,,,,,,,
11,0,88.349,107.665,401.453,,,,,,,,,,,,,,,,,,,,,,,,
12,0,87.7683,107.771,401.614,,,,,,,,,,,,,,,,,,,,,,,,
13,0,87.4749,107.781,401.691,,,,,,,,,,,,,,,,,,,,,,,,
14,0,87.3923,107.752,401.536,,,,,,,,,,,,,,,,,,,,,,,,
15,0,87.5567,107.751,401.402,,,,,,,,,,,,,,,,,,,,,,,,
16,0,87.888,107.627,401.07,,,,,,,,,,,,,,,,,,,,,,,,
17,0,88.1872,107.504,400.866,,,,,,,,,,,,,,,,,,,,,,,,
18,0,88.2755,107.577,400.881,,,,,,,,,,,,,,,,,,,,,,,,
19,0,88.4358,107.539,400.932,,,,,,,,,,,,,,,,,,,,,,,,
20,0,88.8381,107.491,400.884,,,,,,,,,,,,,,,,,,,,,,,,
21,0,88.9894,107.502,400.978,,,,,,,,,,,,,,,,,,,,,,,,
22,0,89.2816,107.269,400.665,,,,,,,,,,,,,,,,,,,,,,,,
23,0,89.553,107.321,400.7,,,,,,,,,,,,,,,,,,,,,,,,
24,0,89.7854,107.543,401.094,,,,,,,,,,,,,,,,,,,,,,,,
25,0,90.0796,107.526,401.016,,,,,,,,,,,,,,,,,,,,,,,,
26,0,90.6415,107.253,400.292,,,,,,,,,,,,,,,,,,,,,,,,
27,0,90.5812,107.129,400.122,,,,,,,,,,,,,,,,,,,,,,,,
28,0,89.5616,107.224,400.455,,,,,,,,,,,,,,,,,,,,,,,,
29,0,89.5409,107.364,400.627,,,,,,,,,,,,,,,,,,,,,,,,
30,0,89.0333,107.359,400.542,,,,,,,,,,,,,,,,,,,,,,,,
31,0,88.8458,107.491,400.218,,,,,,,,,,,,,,,,,,,,,,,,
32,0,88.4394,107.449,399.682,,,,,,,,,,,,,,,,,,,,,,,,
33,0,87.9893,107.847,399.604,,,,,,,,,,,,,,,,,,,,,,,,
34,0,87.5965,108.096,399.274,,,,,,,,,,,,,,,,,,,,,,,,
35,0,87.433,108.104,398.869,,,,,,,,,,,,,,,,,,,,,,,,
36,0,87.1917,108.326,398.477,,,,,,,,,,,,,,,,,,,,,,,,
37,0,86.6555,108.707,397.949,,,,,,,,,,,,,,,,,,,,,,,,
38,0,86.1555,109.127,397.602,,,,,,,,,,,,,,,,,,,,,,,,
39,0,85.7497,109.428,397.526,,,,,,,,,,,,,,,,,,,,,,,,
40,0,85.4877,109.713,397.344,,,,,,,,,,,,,,,,,,,,,,,,
41,0,85.3793,109.866,397.157,,,,,,,,,,,,,,,,,,,,,,,,
42,0,85.0519,110.277,396.915,,,,,,,,,,,,,,,,,,,,,,,,
43,0,84.743,110.635,396.638,,,,,,,,,,,,,,,,,,,,,,,,
44,0,84.7821,110.95,396.062,,,,,,,,,,,,,,,,,,,,,,,,
45,0,84.858,111.202,395.518,,,,,,,,,,,,,,,,,,,,,,,,
46,0,85.0234,111.462,395.068,,,,,,,,,,,,,,,,,,,,,,,,
47,0,85.0924,111.745,395.012,,,,,,,,,,,,,,,,,,,,,,,,
48,0,85.1235,111.857,394.856,,,,,,,,,,,,,,,,,,,,,,,,
49,0,85.4433,111.996,394.444,,,,,,,,,,,,,,,,,,,,,,,,
50,0,85.7262,112.003,393.95,,,,,,,,,,,,,,,,,,,,,,,,
