Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,198.869,168.958,386.992,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,198.606,168.502,386.585,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,198.051,168.108,386.326,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,197.651,167.714,385.841,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,197.185,167.361,385.561,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,196.717,167.21,385.498,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,196.382,167.05,385.329,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,196.088,167.276,385.314,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,195.605,167.683,385.275,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,195.538,168.042,385.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,195.441,168.375,384.827,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,195.379,168.623,384.692,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,195.62,168.746,384.069,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,195.563,168.894,383.976,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,195.525,168.92,383.789,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,195.508,168.941,383.619,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,195.803,168.808,383.215,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,195.924,168.658,382.889,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,196.156,168.513,382.416,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,196.554,168.059,381.963,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,196.822,167.659,381.747,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,197.237,167.351,381.372,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,197.491,167.217,381.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,197.65,167.111,381.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,198.184,167.146,380.852,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,198.716,167.217,380.774,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,199.424,167.182,380.525,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,200.898,166.852,379.802,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,201.167,166.984,379.914,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,201.675,166.851,379.673,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,202.034,166.705,379.769,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,202.621,166.513,379.489,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,203.279,166.145,379.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,203.808,165.701,379.229,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,204.05,165.423,379.171,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,204.448,165.003,378.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,204.548,164.492,378.876,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,204.764,163.876,378.842,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,204.719,163.183,378.636,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,204.366,162.34,378.878,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,204.043,161.323,379.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,203.903,160.385,378.954,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,203.269,159.429,379.268,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,203.075,158.395,378.957,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,202.405,157.477,379.288,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,202.068,156.587,379.196,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,201.516,155.752,379.236,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,201.041,154.884,379.366,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,200.521,154.328,379.377,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,200.229,153.718,379.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,199.787,153.124,378.937,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,198.154,152.993,379.664,,,,,,,,,,,,,,,,,,,,,,,,,,,
