Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,209.179,263.337,313.627,,,,,,,,,,,,,,,,,,,,,
2,0,209.222,263.454,313.71,,,,,,,,,,,,,,,,,,,,,
3,0,209.292,263.536,313.805,,,,,,,,,,,,,,,,,,,,,
4,0,209.342,263.684,313.91,,,,,,,,,,,,,,,,,,,,,
5,0,209.4,263.806,314.046,,,,,,,,,,,,,,,,,,,,,
6,0,209.429,263.876,314.126,,,,,,,,,,,,,,,,,,,,,
7,0,209.54,264.078,314.297,,,,,,,,,,,,,,,,,,,,,
8,0,209.579,264.251,314.469,,,,,,,,,,,,,,,,,,,,,
9,0,209.673,264.408,314.616,,,,,,,,,,,,,,,,,,,,,
10,0,209.708,264.524,314.702,,,,,,,,,,,,,,,,,,,,,
11,0,209.756,264.624,314.845,,,,,,,,,,,,,,,,,,,,,
12,0,209.765,264.704,314.92,,,,,,,,,,,,,,,,,,,,,
13,0,209.782,264.754,314.967,,,,,,,,,,,,,,,,,,,,,
14,0,209.761,264.79,315.009,,,,,,,,,,,,,,,,,,,,,
15,0,209.732,264.807,314.947,,,,,,,,,,,,,,,,,,,,,
16,0,209.712,264.831,314.965,,,,,,,,,,,,,,,,,,,,,
17,0,209.692,264.937,314.926,,,,,,,,,,,,,,,,,,,,,
18,0,209.691,264.998,314.98,,,,,,,,,,,,,,,,,,,,,
19,0,209.685,265.082,314.993,,,,,,,,,,,,,,,,,,,,,
20,0,209.725,265.126,314.89,,,,,,,,,,,,,,,,,,,,,
21,0,209.655,265.257,314.952,,,,,,,,,,,,,,,,,,,,,
22,0,209.658,265.309,314.913,,,,,,,,,,,,,,,,,,,,,
23,0,209.599,265.368,314.848,,,,,,,,,,,,,,,,,,,,,
24,0,209.553,265.49,314.827,,,,,,,,,,,,,,,,,,,,,
25,0,209.57,265.535,314.804,,,,,,,,,,,,,,,,,,,,,
26,0,209.581,265.593,314.765,,,,,,,,,,,,,,,,,,,,,
27,0,209.808,265.579,314.478,,,,,,,,,,,,,,,,,,,,,
28,0,210.01,265.566,314.234,,,,,,,,,,,,,,,,,,,,,
29,0,210.127,265.518,314.012,,,,,,,,,,,,,,,,,,,,,
30,0,210.133,265.495,313.901,,,,,,,,,,,,,,,,,,,,,
31,0,210.035,265.509,313.789,,,,,,,,,,,,,,,,,,,,,
