Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,179.781,167.731,405.979,,,,,,,,,,,,,,,,,,
2,0,179.927,167.736,405.923,,,,,,,,,,,,,,,,,,
3,0,180.068,167.688,405.99,,,,,,,,,,,,,,,,,,
4,0,180.361,167.56,405.89,,,,,,,,,,,,,,,,,,
5,0,180.464,167.494,405.943,,,,,,,,,,,,,,,,,,
6,0,180.607,167.37,405.86,,,,,,,,,,,,,,,,,,
7,0,180.681,167.288,405.786,,,,,,,,,,,,,,,,,,
8,0,180.622,167.257,405.719,,,,,,,,,,,,,,,,,,
9,0,180.575,167.291,405.634,,,,,,,,,,,,,,,,,,
10,0,180.406,167.391,405.66,,,,,,,,,,,,,,,,,,
11,0,180.049,167.613,405.716,,,,,,,,,,,,,,,,,,
12,0,179.939,167.835,405.615,,,,,,,,,,,,,,,,,,
13,0,179.853,168.234,405.263,,,,,,,,,,,,,,,,,,
14,0,179.612,168.74,405.059,,,,,,,,,,,,,,,,,,
15,0,179.374,169.248,404.94,,,,,,,,,,,,,,,,,,
16,0,179.091,169.775,405.057,,,,,,,,,,,,,,,,,,
17,0,178.894,170.29,404.72,,,,,,,,,,,,,,,,,,
18,0,178.452,170.909,404.155,,,,,,,,,,,,,,,,,,
19,0,177.572,171.483,404.33,,,,,,,,,,,,,,,,,,
20,0,177.222,171.859,404.174,,,,,,,,,,,,,,,,,,
21,0,176.482,172.211,404.046,,,,,,,,,,,,,,,,,,
22,0,175.905,172.637,403.739,,,,,,,,,,,,,,,,,,
23,0,174.942,172.853,403.531,,,,,,,,,,,,,,,,,,
24,0,174.311,173.228,403.303,,,,,,,,,,,,,,,,,,
25,0,173.61,173.51,403.07,,,,,,,,,,,,,,,,,,
26,0,173.323,173.732,402.574,,,,,,,,,,,,,,,,,,
27,0,172.946,173.969,402.278,,,,,,,,,,,,,,,,,,
28,0,172.664,174.505,401.844,,,,,,,,,,,,,,,,,,
29,0,172.343,174.953,401.333,,,,,,,,,,,,,,,,,,
30,0,171.804,175.344,401.19,,,,,,,,,,,,,,,,,,
31,0,171.616,175.567,400.875,,,,,,,,,,,,,,,,,,
32,0,171.015,176.043,400.755,,,,,,,,,,,,,,,,,,
33,0,170.612,176.307,400.582,,,,,,,,,,,,,,,,,,
34,0,170.28,176.736,400.323,,,,,,,,,,,,,,,,,,
35,0,170.136,176.99,399.748,,,,,,,,,,,,,,,,,,
36,0,169.257,177.667,399.776,,,,,,,,,,,,,,,,,,
37,0,168.818,178.207,399.458,,,,,,,,,,,,,,,,,,
38,0,168.66,178.514,398.99,,,,,,,,,,,,,,,,,,
39,0,168.511,178.856,398.345,,,,,,,,,,,,,,,,,,
40,0,168.213,179.138,397.999,,,,,,,,,,,,,,,,,,
41,0,167.444,179.848,397.876,,,,,,,,,,,,,,,,,,
42,0,166.793,180.383,397.808,,,,,,,,,,,,,,,,,,
43,0,165.952,180.872,397.73,,,,,,,,,,,,,,,,,,
44,0,165.674,181.381,397.202,,,,,,,,,,,,,,,,,,
45,0,165.376,181.502,396.792,,,,,,,,,,,,,,,,,,
46,0,164.913,181.968,396.403,,,,,,,,,,,,,,,,,,
47,0,163.761,182.699,396.386,,,,,,,,,,,,,,,,,,
48,0,163.68,182.962,395.805,,,,,,,,,,,,,,,,,,
49,0,163.476,183.257,395.592,,,,,,,,,,,,,,,,,,
50,0,163.104,183.682,395.251,,,,,,,,,,,,,,,,,,
51,0,162.953,184.067,395.051,,,,,,,,,,,,,,,,,,
52,0,162.635,184.625,394.977,,,,,,,,,,,,,,,,,,
53,0,162.738,185.088,394.714,,,,,,,,,,,,,,,,,,
54,0,162.743,185.516,394.598,,,,,,,,,,,,,,,,,,
55,0,163.005,186.066,394.072,,,,,,,,,,,,,,,,,,
56,0,163.63,186.569,393.438,,,,,,,,,,,,,,,,,,
57,0,163.608,187.07,393.386,,,,,,,,,,,,,,,,,,
58,0,163.708,187.497,393.52,,,,,,,,,,,,,,,,,,
59,0,163.891,187.885,393.706,,,,,,,,,,,,,,,,,,
60,0,164.269,188.077,393.691,,,,,,,,,,,,,,,,,,
61,0,164.7,188.25,393.628,,,,,,,,,,,,,,,,,,
62,0,165.157,188.399,393.439,,,,,,,,,,,,,,,,,,
63,0,165.771,188.528,393.199,,,,,,,,,,,,,,,,,,
64,0,166.311,188.498,393.288,,,,,,,,,,,,,,,,,,
65,0,167.608,187.975,392.826,,,,,,,,,,,,,,,,,,
66,0,168.393,187.78,392.458,,,,,,,,,,,,,,,,,,
67,0,168.687,187.678,392.612,,,,,,,,,,,,,,,,,,
68,0,169.028,187.524,392.737,,,,,,,,,,,,,,,,,,
69,0,171.024,186.659,391.771,,,,,,,,,,,,,,,,,,
70,0,171.449,186.402,391.95,,,,,,,,,,,,,,,,,,
71,0,171.748,186.238,392.093,,,,,,,,,,,,,,,,,,
72,0,172.147,186.115,392.195,,,,,,,,,,,,,,,,,,
73,0,173.152,185.77,391.679,,,,,,,,,,,,,,,,,,
74,0,174.243,185.213,391.418,,,,,,,,,,,,,,,,,,
75,0,174.454,185.201,391.567,,,,,,,,,,,,,,,,,,
76,0,174.664,185.182,391.707,,,,,,,,,,,,,,,,,,
77,0,174.888,185.11,391.799,,,,,,,,,,,,,,,,,,
78,0,174.995,185.221,391.915,,,,,,,,,,,,,,,,,,
79,0,175.07,185.258,391.984,,,,,,,,,,,,,,,,,,
80,0,175.091,185.3,391.964,,,,,,,,,,,,,,,,,,
81,0,175.121,185.326,391.878,,,,,,,,,,,,,,,,,,
82,0,174.924,185.37,391.728,,,,,,,,,,,,,,,,,,
83,0,174.733,185.299,391.503,,,,,,,,,,,,,,,,,,
84,0,174.613,185.231,391.337,,,,,,,,,,,,,,,,,,
85,0,174.501,185.065,391.141,,,,,,,,,,,,,,,,,,
86,0,174.348,184.969,390.941,,,,,,,,,,,,,,,,,,
87,0,174.191,184.989,390.706,,,,,,,,,,,,,,,,,,
88,0,173.807,185.241,390.6,,,,,,,,,,,,,,,,,,
89,0,173.621,185.311,390.451,,,,,,,,,,,,,,,,,,
90,0,172.878,185.738,390.598,,,,,,,,,,,,,,,,,,
91,0,172.666,185.891,390.509,,,,,,,,,,,,,,,,,,
92,0,172.02,186.203,390.484,,,,,,,,,,,,,,,,,,
93,0,171.822,186.4,390.497,,,,,,,,,,,,,,,,,,
94,0,171.668,186.622,390.401,,,,,,,,,,,,,,,,,,
95,0,171.471,187.025,390.387,,,,,,,,,,,,,,,,,,
96,0,171.282,187.409,390.434,,,,,,,,,,,,,,,,,,
97,0,171.028,187.923,390.603,,,,,,,,,,,,,,,,,,
98,0,170.817,188.387,390.74,,,,,,,,,,,,,,,,,,
99,0,170.124,189.055,391.035,,,,,,,,,,,,,,,,,,
100,0,169.859,189.523,391.106,,,,,,,,,,,,,,,,,,
101,0,169.715,189.936,390.961,,,,,,,,,,,,,,,,,,
102,0,169.285,190.328,391.299,,,,,,,,,,,,,,,,,,
103,0,168.971,190.67,391.527,,,,,,,,,,,,,,,,,,
104,0,168.873,191.012,391.588,,,,,,,,,,,,,,,,,,
105,0,168.437,191.497,391.87,,,,,,,,,,,,,,,,,,
106,0,167.708,192.197,392.109,,,,,,,,,,,,,,,,,,
107,0,167.283,192.783,392.048,,,,,,,,,,,,,,,,,,
108,0,167.171,193.178,392.112,,,,,,,,,,,,,,,,,,
109,0,167.033,193.395,392.079,,,,,,,,,,,,,,,,,,
110,0,166.918,193.63,391.988,,,,,,,,,,,,,,,,,,
111,0,166.616,193.905,391.964,,,,,,,,,,,,,,,,,,
112,0,166.232,194.22,391.905,,,,,,,,,,,,,,,,,,
113,0,165.604,194.438,392.086,,,,,,,,,,,,,,,,,,
114,0,164.531,194.957,392.39,,,,,,,,,,,,,,,,,,
115,0,164.398,195.027,392.174,,,,,,,,,,,,,,,,,,
116,0,164.287,195.023,391.995,,,,,,,,,,,,,,,,,,
117,0,164.145,195.034,391.729,,,,,,,,,,,,,,,,,,
118,0,164.092,195.025,391.367,,,,,,,,,,,,,,,,,,
119,0,163.888,195.003,391.066,,,,,,,,,,,,,,,,,,
120,0,163.674,195.008,390.795,,,,,,,,,,,,,,,,,,
121,0,163.522,194.88,390.552,,,,,,,,,,,,,,,,,,
122,0,163.395,194.73,390.293,,,,,,,,,,,,,,,,,,
123,0,163.274,194.589,390.044,,,,,,,,,,,,,,,,,,
124,0,162.931,194.604,389.742,,,,,,,,,,,,,,,,,,
125,0,162.777,194.492,389.5,,,,,,,,,,,,,,,,,,
126,0,162.665,194.31,389.217,,,,,,,,,,,,,,,,,,
127,0,162.6,194.11,388.942,,,,,,,,,,,,,,,,,,
128,0,162.472,193.896,388.629,,,,,,,,,,,,,,,,,,
129,0,162.489,193.738,388.18,,,,,,,,,,,,,,,,,,
130,0,162.692,193.536,387.585,,,,,,,,,,,,,,,,,,
131,0,162.726,193.303,387.172,,,,,,,,,,,,,,,,,,
132,0,162.745,193.331,386.569,,,,,,,,,,,,,,,,,,
133,0,162.982,193.385,385.704,,,,,,,,,,,,,,,,,,
134,0,163.072,193.421,385.205,,,,,,,,,,,,,,,,,,
