Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,133.637,108.095,354.574,,,,,,,,,,,,,,,,,,,,,,,,
2,0,133.927,107.787,354.08,,,,,,,,,,,,,,,,,,,,,,,,
3,0,133.859,107.506,353.809,,,,,,,,,,,,,,,,,,,,,,,,
4,0,133.737,107.126,353.514,,,,,,,,,,,,,,,,,,,,,,,,
5,0,133.595,106.648,353.216,,,,,,,,,,,,,,,,,,,,,,,,
6,0,133.44,106.23,352.785,,,,,,,,,,,,,,,,,,,,,,,,
7,0,132.862,105.793,352.484,,,,,,,,,,,,,,,,,,,,,,,,
8,0,132.216,105.379,352.264,,,,,,,,,,,,,,,,,,,,,,,,
9,0,131.74,104.752,351.863,,,,,,,,,,,,,,,,,,,,,,,,
10,0,131.275,104.072,351.429,,,,,,,,,,,,,,,,,,,,,,,,
11,0,130.938,103.214,350.807,,,,,,,,,,,,,,,,,,,,,,,,
12,0,130.402,102.372,350.333,,,,,,,,,,,,,,,,,,,,,,,,
13,0,130.006,101.493,349.773,,,,,,,,,,,,,,,,,,,,,,,,
14,0,129.451,100.471,349.143,,,,,,,,,,,,,,,,,,,,,,,,
15,0,128.671,99.5119,348.754,,,,,,,,,,,,,,,,,,,,,,,,
16,0,127.529,98.5199,348.58,,,,,,,,,,,,,,,,,,,,,,,,
17,0,127.005,97.484,347.778,,,,,,,,,,,,,,,,,,,,,,,,
18,0,126.475,96.3668,346.998,,,,,,,,,,,,,,,,,,,,,,,,
19,0,125.597,95.4438,346.316,,,,,,,,,,,,,,,,,,,,,,,,
20,0,124.92,94.2215,345.579,,,,,,,,,,,,,,,,,,,,,,,,
21,0,124.218,93.1535,344.496,,,,,,,,,,,,,,,,,,,,,,,,
22,0,123.206,92.0897,343.804,,,,,,,,,,,,,,,,,,,,,,,,
23,0,122.489,90.7422,342.967,,,,,,,,,,,,,,,,,,,,,,,,
24,0,121.514,89.3673,342.007,,,,,,,,,,,,,,,,,,,,,,,,
25,0,120.667,88.0678,341.135,,,,,,,,,,,,,,,,,,,,,,,,
26,0,119.952,86.5964,340.093,,,,,,,,,,,,,,,,,,,,,,,,
27,0,118.63,85.3635,339.491,,,,,,,,,,,,,,,,,,,,,,,,
28,0,117.586,83.836,338.789,,,,,,,,,,,,,,,,,,,,,,,,
29,0,116.847,82.4086,337.957,,,,,,,,,,,,,,,,,,,,,,,,
30,0,116.079,80.7343,337.517,,,,,,,,,,,,,,,,,,,,,,,,
31,0,115.26,79.4088,337.246,,,,,,,,,,,,,,,,,,,,,,,,
32,0,114.548,77.9669,336.56,,,,,,,,,,,,,,,,,,,,,,,,
33,0,113.991,76.7216,335.986,,,,,,,,,,,,,,,,,,,,,,,,
34,0,113.829,75.368,335.15,,,,,,,,,,,,,,,,,,,,,,,,
35,0,113.824,73.934,334.655,,,,,,,,,,,,,,,,,,,,,,,,
36,0,113.578,72.8065,333.965,,,,,,,,,,,,,,,,,,,,,,,,
37,0,113.389,71.8166,333.438,,,,,,,,,,,,,,,,,,,,,,,,
38,0,113.515,70.8979,332.846,,,,,,,,,,,,,,,,,,,,,,,,
39,0,113.799,70.1741,332.276,,,,,,,,,,,,,,,,,,,,,,,,
40,0,114.328,69.3759,331.644,,,,,,,,,,,,,,,,,,,,,,,,
41,0,114.519,68.8713,331.307,,,,,,,,,,,,,,,,,,,,,,,,
42,0,115.018,68.511,331.022,,,,,,,,,,,,,,,,,,,,,,,,
43,0,115.103,68.431,330.909,,,,,,,,,,,,,,,,,,,,,,,,
44,0,115.706,68.3857,330.558,,,,,,,,,,,,,,,,,,,,,,,,
45,0,116.253,68.6397,330.286,,,,,,,,,,,,,,,,,,,,,,,,
46,0,116.791,69.1822,329.373,,,,,,,,,,,,,,,,,,,,,,,,
47,0,117.086,69.8059,329.326,,,,,,,,,,,,,,,,,,,,,,,,
48,0,117.99,70.4613,328.924,,,,,,,,,,,,,,,,,,,,,,,,
49,0,118.294,71.2145,328.982,,,,,,,,,,,,,,,,,,,,,,,,
50,0,118.563,72.4225,328.655,,,,,,,,,,,,,,,,,,,,,,,,
51,0,119.573,73.593,327.707,,,,,,,,,,,,,,,,,,,,,,,,
52,0,119.723,74.7605,327.931,,,,,,,,,,,,,,,,,,,,,,,,
53,0,119.909,76.0947,328.161,,,,,,,,,,,,,,,,,,,,,,,,
54,0,120.284,77.5198,327.745,,,,,,,,,,,,,,,,,,,,,,,,
55,0,120.757,79.1831,327.333,,,,,,,,,,,,,,,,,,,,,,,,
56,0,121.258,80.4906,327.552,,,,,,,,,,,,,,,,,,,,,,,,
57,0,121.147,82.2083,327.494,,,,,,,,,,,,,,,,,,,,,,,,
58,0,121.822,83.9239,326.895,,,,,,,,,,,,,,,,,,,,,,,,
59,0,121.797,85.4371,327.206,,,,,,,,,,,,,,,,,,,,,,,,
60,0,121.609,87.2716,327.507,,,,,,,,,,,,,,,,,,,,,,,,
61,0,121.678,89.029,327.505,,,,,,,,,,,,,,,,,,,,,,,,
62,0,122.079,90.8081,326.745,,,,,,,,,,,,,,,,,,,,,,,,
63,0,121.576,92.5495,327.503,,,,,,,,,,,,,,,,,,,,,,,,
64,0,121.334,94.1233,327.681,,,,,,,,,,,,,,,,,,,,,,,,
65,0,121.312,95.6266,328.127,,,,,,,,,,,,,,,,,,,,,,,,
66,0,121.515,97.2141,327.57,,,,,,,,,,,,,,,,,,,,,,,,
