Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,53.0379,-17.1534,431.236,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,53.323,-17.4861,431.185,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,53.9457,-17.959,431.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,54.5698,-18.467,431.137,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,56.0551,-19.1191,430.523,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,56.6182,-19.4751,430.504,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,58.4009,-20.3008,430.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,59.6056,-20.8404,430.216,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,61.5742,-21.6912,429.781,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,63.1443,-22.3634,429.752,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,65.4121,-23.2052,429.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,67.5196,-23.8493,428.374,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,69.4855,-24.4882,428.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,71.3744,-24.9849,427.898,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,73.3447,-25.4436,427.516,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,75.755,-26.0643,427.276,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,77.5801,-26.1887,427.355,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,79.9253,-26.1672,426.895,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,82.4176,-26.0659,426.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,84.6363,-26.0393,425.899,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,86.8113,-26.0591,425.746,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,88.5022,-25.4878,425.445,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,90.438,-24.9369,424.769,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,92.2995,-24.2892,424.578,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,94.101,-23.7211,424.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,96.1899,-22.7524,423.908,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,97.8828,-21.8564,423.704,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,99.5927,-20.8009,423.911,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,101.227,-19.3655,423.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,103.387,-18.2934,423.395,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,104.929,-16.649,423.674,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,106.754,-14.9103,423.233,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,108.472,-13.0225,423.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,110.221,-11.2853,423.695,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,112.453,-9.20508,422.933,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,113.824,-7.16767,423.817,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,115.653,-5.20912,423.606,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,117.757,-3.18088,423.445,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,119.03,-1.24292,424.276,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,121.077,0.725443,423.901,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,122.963,2.79748,424.076,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,124.538,4.76078,424.762,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,127.002,6.78116,424.275,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,128.873,8.64694,424.731,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,131.544,10.462,424.257,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,133.09,12.5342,424.651,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,134.982,14.2656,425.061,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,137.234,16.2019,424.635,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,138.877,18.2605,425.239,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,140.398,20.2334,425.617,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,142.616,22.3663,425.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,143.537,24.4907,426.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,144.8,26.5415,425.892,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,145.714,28.6438,426.269,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,147.013,30.0799,426.493,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,148.181,31.3989,427.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,149.781,32.7476,426.724,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,151.03,34.3191,426.881,,,,,,,,,,,,,,,,,,,,,,,,,,,
