Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-118.472,-129.088,417.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,-118.977,-128.716,416.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,-119.405,-128.409,416.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,-119.857,-128.028,415.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,-120.242,-127.813,414.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,-121.152,-127.514,414.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,-121.726,-127.265,412.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,-122.71,-126.932,412.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,-123.849,-126.624,411.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,-125.091,-126.401,410.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,-126.711,-125.973,410.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,-128.278,-125.426,409.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,-129.691,-124.632,408.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-131.178,-123.575,408.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,-132.547,-122.59,407.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,-134.261,-121.226,407.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,-135.445,-119.98,406.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,-136.894,-118.29,406.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,-137.987,-116.433,405.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,-139.643,-114.768,405.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,-140.858,-112.92,404.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,-142.328,-110.931,404.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,-143.724,-109.257,403.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,-145.015,-107.599,403.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,-146.495,-105.636,403.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,-147.577,-103.96,403.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,-148.487,-102.102,403.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,-149.528,-100.145,403.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,-149.696,-98.6809,403.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
