Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,155.495,-27.7588,457.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,155.525,-26.7211,456.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,155.469,-25.644,456.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,155.598,-24.4923,455.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,155.625,-23.4327,455.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,155.397,-22.3177,454.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,155.256,-21.1553,454.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,155.327,-19.8163,452.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,155.105,-18.7093,452.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,154.895,-17.2463,451.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,155.088,-15.9281,451.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,155.085,-14.4751,450.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,155.391,-12.7475,449.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,155.172,-10.8948,449.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,154.785,-8.88759,448.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,154.649,-6.6953,448.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,154.256,-4.47618,447.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,153.901,-1.86648,447.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,153.205,0.637208,446.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,152.944,3.38798,446.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
