Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,277.725,-36.71,315.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,277.138,-36.8789,314.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,276.262,-37.2117,314.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,274.554,-37.1725,314.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,273.317,-37.4532,314.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,271.903,-37.7322,314.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,270.281,-37.8988,314.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,268.784,-38.2765,314.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,266.003,-38.5607,315.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,264.664,-39.2119,314.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,262.015,-39.5736,314.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,260.047,-40.2865,314.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,257.222,-41.0154,315.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,254.436,-41.8809,316.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,252.446,-42.7245,315.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,249.452,-43.4959,316.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,246.486,-44.3091,317.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,243.735,-45.4735,318.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,240.719,-46.3366,319.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,237.6,-47.2976,320.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,235.246,-48.2826,321.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,231.587,-49.3018,323.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,228.593,-50.2282,325.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,226.441,-51.1604,325.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,223.349,-52.1027,328.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,220.992,-52.9488,329.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,219.142,-53.8535,331.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,217.254,-54.7849,333.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,215.372,-55.1244,334.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,214.357,-56.0086,336.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,214.151,-56.6959,336.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,213.204,-57.1423,339.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,213.465,-57.3711,340.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,213.85,-57.54,341.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
