Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,102.865,-2.57712,411.896,,,,,,,,,,,,,,,,,,
2,0,102.893,-2.20803,411.613,,,,,,,,,,,,,,,,,,
3,0,102.77,-1.60888,411.129,,,,,,,,,,,,,,,,,,
4,0,102.798,-1.20203,411.015,,,,,,,,,,,,,,,,,,
5,0,102.811,-0.829588,410.873,,,,,,,,,,,,,,,,,,
6,0,102.911,-0.20302,410.504,,,,,,,,,,,,,,,,,,
7,0,102.846,0.323954,410.502,,,,,,,,,,,,,,,,,,
8,0,102.545,1.1166,410.372,,,,,,,,,,,,,,,,,,
9,0,102.43,1.94593,410.522,,,,,,,,,,,,,,,,,,
10,0,102.349,2.72026,410.577,,,,,,,,,,,,,,,,,,
11,0,102.3,3.71691,410.613,,,,,,,,,,,,,,,,,,
12,0,102.213,4.89031,410.425,,,,,,,,,,,,,,,,,,
13,0,102.357,6.15871,410.12,,,,,,,,,,,,,,,,,,
14,0,102.088,7.32291,410.46,,,,,,,,,,,,,,,,,,
15,0,101.965,8.71491,410.665,,,,,,,,,,,,,,,,,,
16,0,101.616,10.4162,410.783,,,,,,,,,,,,,,,,,,
17,0,101.44,12.0612,411.051,,,,,,,,,,,,,,,,,,
18,0,101.394,14.198,410.594,,,,,,,,,,,,,,,,,,
19,0,101.04,15.8756,411.13,,,,,,,,,,,,,,,,,,
20,0,100.76,17.7394,411.348,,,,,,,,,,,,,,,,,,
21,0,100.456,19.696,411.659,,,,,,,,,,,,,,,,,,
22,0,100.495,21.816,411.198,,,,,,,,,,,,,,,,,,
23,0,100.032,23.7208,411.736,,,,,,,,,,,,,,,,,,
24,0,99.5297,25.6706,411.993,,,,,,,,,,,,,,,,,,
25,0,99.2108,27.5448,412.302,,,,,,,,,,,,,,,,,,
26,0,98.9912,29.5761,412.302,,,,,,,,,,,,,,,,,,
27,0,98.5545,31.4635,412.505,,,,,,,,,,,,,,,,,,
28,0,98.092,33.1679,412.612,,,,,,,,,,,,,,,,,,
29,0,97.5493,34.647,412.814,,,,,,,,,,,,,,,,,,
30,0,96.6209,36.1569,412.588,,,,,,,,,,,,,,,,,,
31,0,95.8823,36.91,412.784,,,,,,,,,,,,,,,,,,
32,0,94.5584,37.7938,412.774,,,,,,,,,,,,,,,,,,
33,0,93.469,38.2041,412.72,,,,,,,,,,,,,,,,,,
