Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35,0,-160.154,-203.034,445.063,,,,,,,,,,,,,,,,,,,,,
36,0,-159.989,-201.85,445.262,,,,,,,,,,,,,,,,,,,,,
37,0,-159.671,-200.738,445.472,,,,,,,,,,,,,,,,,,,,,
38,0,-159.28,-199.334,445.495,,,,,,,,,,,,,,,,,,,,,
39,0,-158.867,-197.941,445.316,,,,,,,,,,,,,,,,,,,,,
40,0,-158.292,-196.862,445.732,,,,,,,,,,,,,,,,,,,,,
41,0,-158.045,-195.484,445.751,,,,,,,,,,,,,,,,,,,,,
42,0,-157.409,-193.994,445.842,,,,,,,,,,,,,,,,,,,,,
43,0,-157.015,-192.352,445.527,,,,,,,,,,,,,,,,,,,,,
44,0,-156.491,-190.82,445.911,,,,,,,,,,,,,,,,,,,,,
45,0,-156.35,-189.238,445.892,,,,,,,,,,,,,,,,,,,,,
46,0,-155.991,-187.708,446.009,,,,,,,,,,,,,,,,,,,,,
47,0,-155.376,-185.887,445.819,,,,,,,,,,,,,,,,,,,,,
48,0,-155.141,-184.237,445.872,,,,,,,,,,,,,,,,,,,,,
49,0,-155.076,-182.877,445.84,,,,,,,,,,,,,,,,,,,,,
50,0,-154.201,-181.224,445.981,,,,,,,,,,,,,,,,,,,,,
51,0,-154.026,-179.576,445.787,,,,,,,,,,,,,,,,,,,,,
52,0,-153.647,-178.154,445.719,,,,,,,,,,,,,,,,,,,,,
53,0,-153.35,-176.762,446.047,,,,,,,,,,,,,,,,,,,,,
54,0,-152.583,-175.496,446.191,,,,,,,,,,,,,,,,,,,,,
55,0,-151.962,-174.164,446.363,,,,,,,,,,,,,,,,,,,,,
56,0,-151.029,-172.688,445.611,,,,,,,,,,,,,,,,,,,,,
57,0,-150.538,-171.522,445.954,,,,,,,,,,,,,,,,,,,,,
58,0,-149.658,-170.179,445.838,,,,,,,,,,,,,,,,,,,,,
