Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,53.2039,15.7416,444.823,,,,,,,,,,,,,,,,,,
2,0,52.578,16.3491,443.801,,,,,,,,,,,,,,,,,,
3,0,52.0599,16.9439,443.112,,,,,,,,,,,,,,,,,,
4,0,51.4798,17.5885,442.476,,,,,,,,,,,,,,,,,,
5,0,51.0664,18.177,441.945,,,,,,,,,,,,,,,,,,
6,0,50.7079,19.0276,441.272,,,,,,,,,,,,,,,,,,
7,0,50.3549,20.0335,440.738,,,,,,,,,,,,,,,,,,
8,0,49.9273,21.0595,440.383,,,,,,,,,,,,,,,,,,
9,0,49.5032,21.949,440.179,,,,,,,,,,,,,,,,,,
10,0,49.6024,23.0994,439.66,,,,,,,,,,,,,,,,,,
11,0,49.7215,24.2344,439.017,,,,,,,,,,,,,,,,,,
12,0,49.8702,24.9988,438.823,,,,,,,,,,,,,,,,,,
13,0,49.9524,25.8867,438.769,,,,,,,,,,,,,,,,,,
14,0,49.8849,26.7712,438.412,,,,,,,,,,,,,,,,,,
15,0,50.1466,27.5677,437.669,,,,,,,,,,,,,,,,,,
16,0,50.4274,27.9921,437.421,,,,,,,,,,,,,,,,,,
17,0,50.6701,28.3707,437.105,,,,,,,,,,,,,,,,,,
18,0,50.8454,28.7346,436.81,,,,,,,,,,,,,,,,,,
19,0,50.9406,29.1403,436.437,,,,,,,,,,,,,,,,,,
20,0,51.0804,29.4909,435.96,,,,,,,,,,,,,,,,,,
21,0,51.3971,29.8125,435.451,,,,,,,,,,,,,,,,,,
22,0,51.7301,30.228,435.118,,,,,,,,,,,,,,,,,,
23,0,52.2182,30.5791,434.943,,,,,,,,,,,,,,,,,,
24,0,52.6073,30.957,434.843,,,,,,,,,,,,,,,,,,
25,0,52.9545,31.3568,434.717,,,,,,,,,,,,,,,,,,
26,0,53.1762,31.7726,434.557,,,,,,,,,,,,,,,,,,
27,0,53.6013,32.2451,434.021,,,,,,,,,,,,,,,,,,
28,0,53.8771,32.6529,433.685,,,,,,,,,,,,,,,,,,
29,0,54.2752,33.0704,433.418,,,,,,,,,,,,,,,,,,
30,0,54.604,33.5323,433.372,,,,,,,,,,,,,,,,,,
31,0,54.8464,34.0828,433.29,,,,,,,,,,,,,,,,,,
32,0,54.9146,34.6557,433.039,,,,,,,,,,,,,,,,,,
33,0,55.1623,35.0717,433.109,,,,,,,,,,,,,,,,,,
34,0,55.3534,35.4972,432.794,,,,,,,,,,,,,,,,,,
