Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,205.324,-33.8725,444.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,205.216,-34.3738,443.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,205.113,-34.8936,443.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,204.939,-35.478,443.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,204.748,-35.9651,442.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,204.574,-36.4168,442.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,204.394,-36.6772,442.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,204.158,-36.8376,441.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,204.074,-36.924,441.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,203.922,-36.8752,441.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,203.755,-36.7502,441.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,203.594,-36.6219,441.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,203.253,-36.4198,440.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,202.941,-36.1053,440.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,202.562,-35.68,440.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,202.141,-35.2177,440.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,201.827,-34.7396,439.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,201.615,-34.4823,439.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,201.439,-34.2033,439.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,201.131,-33.9475,439.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,200.694,-33.5857,438.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,200.356,-33.5025,438.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,199.859,-33.3633,438.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,199.399,-33.1945,438.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,199.132,-33.1821,437.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,198.856,-32.9122,437.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,198.764,-32.8174,437.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,198.727,-32.7371,436.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,198.778,-32.5947,436.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,198.655,-32.6458,435.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,198.558,-32.7241,435.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,198.425,-32.8564,435.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,198.3,-32.8976,434.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
