Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,5.47466,29.8743,421.773,,,,,,,,,,,,,,,,,,,,,
2,0,5.79359,30.0003,421.844,,,,,,,,,,,,,,,,,,,,,
3,0,6.41394,29.9147,421.527,,,,,,,,,,,,,,,,,,,,,
4,0,6.93933,29.8513,421.471,,,,,,,,,,,,,,,,,,,,,
5,0,7.23533,29.7558,421.428,,,,,,,,,,,,,,,,,,,,,
6,0,7.71503,29.6663,420.981,,,,,,,,,,,,,,,,,,,,,
7,0,7.9916,29.5088,420.676,,,,,,,,,,,,,,,,,,,,,
8,0,8.13907,29.2687,420.489,,,,,,,,,,,,,,,,,,,,,
9,0,8.40442,28.9758,419.963,,,,,,,,,,,,,,,,,,,,,
10,0,8.96366,28.4725,419.384,,,,,,,,,,,,,,,,,,,,,
11,0,9.24443,27.9794,418.975,,,,,,,,,,,,,,,,,,,,,
12,0,9.72399,27.5318,418.493,,,,,,,,,,,,,,,,,,,,,
13,0,10.0785,26.9278,418.096,,,,,,,,,,,,,,,,,,,,,
14,0,10.4747,26.2833,417.606,,,,,,,,,,,,,,,,,,,,,
15,0,10.7773,25.6947,417.33,,,,,,,,,,,,,,,,,,,,,
16,0,11.2592,24.9368,416.9,,,,,,,,,,,,,,,,,,,,,
17,0,11.9709,23.9748,416.352,,,,,,,,,,,,,,,,,,,,,
18,0,12.7739,22.9764,415.492,,,,,,,,,,,,,,,,,,,,,
19,0,12.9019,22.3368,415.253,,,,,,,,,,,,,,,,,,,,,
20,0,13.7987,21.3556,414.487,,,,,,,,,,,,,,,,,,,,,
21,0,14.3795,20.5254,413.724,,,,,,,,,,,,,,,,,,,,,
22,0,14.9672,19.7293,413.26,,,,,,,,,,,,,,,,,,,,,
23,0,15.1991,19.246,412.683,,,,,,,,,,,,,,,,,,,,,
24,0,15.9527,18.5943,411.849,,,,,,,,,,,,,,,,,,,,,
25,0,16.9962,18.1246,410.62,,,,,,,,,,,,,,,,,,,,,
26,0,17.924,17.6275,409.821,,,,,,,,,,,,,,,,,,,,,
27,0,18.4922,17.4128,409.368,,,,,,,,,,,,,,,,,,,,,
28,0,19.0698,17.2513,409.066,,,,,,,,,,,,,,,,,,,,,
29,0,19.9991,17.1579,408.49,,,,,,,,,,,,,,,,,,,,,
30,0,20.7921,17.159,407.983,,,,,,,,,,,,,,,,,,,,,
31,0,21.8874,17.2715,406.954,,,,,,,,,,,,,,,,,,,,,
32,0,22.5357,17.5802,406.546,,,,,,,,,,,,,,,,,,,,,
33,0,23.0842,17.9095,406.312,,,,,,,,,,,,,,,,,,,,,
34,0,23.9904,18.016,405.946,,,,,,,,,,,,,,,,,,,,,
35,0,24.6602,18.2182,405.776,,,,,,,,,,,,,,,,,,,,,
36,0,25.5413,18.3381,405.408,,,,,,,,,,,,,,,,,,,,,
37,0,26.4534,18.7141,405.025,,,,,,,,,,,,,,,,,,,,,
38,0,27.1681,19.0862,404.865,,,,,,,,,,,,,,,,,,,,,
39,0,28.1842,19.2466,404.876,,,,,,,,,,,,,,,,,,,,,
40,0,28.9645,19.6356,404.899,,,,,,,,,,,,,,,,,,,,,
41,0,29.9937,19.9297,404.693,,,,,,,,,,,,,,,,,,,,,
42,0,30.5179,20.3936,405.074,,,,,,,,,,,,,,,,,,,,,
43,0,31.4759,20.7946,405.174,,,,,,,,,,,,,,,,,,,,,
44,0,32.608,21.2032,405.294,,,,,,,,,,,,,,,,,,,,,
45,0,34.3418,21.6017,404.626,,,,,,,,,,,,,,,,,,,,,
46,0,35.3533,22.1246,404.717,,,,,,,,,,,,,,,,,,,,,
47,0,36.7918,22.3635,404.969,,,,,,,,,,,,,,,,,,,,,
48,0,38.55,23.1818,405.298,,,,,,,,,,,,,,,,,,,,,
49,0,39.74,23.6161,405.458,,,,,,,,,,,,,,,,,,,,,
50,0,41.4091,24.0269,405.51,,,,,,,,,,,,,,,,,,,,,
51,0,42.9321,24.2418,405.797,,,,,,,,,,,,,,,,,,,,,
52,0,44.3067,24.6371,406.111,,,,,,,,,,,,,,,,,,,,,
53,0,45.8012,25.1624,406.178,,,,,,,,,,,,,,,,,,,,,
54,0,47.3018,25.5872,406.03,,,,,,,,,,,,,,,,,,,,,
55,0,48.7598,26.0726,406.187,,,,,,,,,,,,,,,,,,,,,
56,0,50.0032,26.4445,406.44,,,,,,,,,,,,,,,,,,,,,
57,0,51.5545,26.7904,406.657,,,,,,,,,,,,,,,,,,,,,
58,0,52.8287,27.2391,406.855,,,,,,,,,,,,,,,,,,,,,
59,0,54.4805,27.4941,407.078,,,,,,,,,,,,,,,,,,,,,
60,0,55.6449,27.9573,407.258,,,,,,,,,,,,,,,,,,,,,
61,0,57.122,28.3662,407.214,,,,,,,,,,,,,,,,,,,,,
62,0,58.3557,28.8293,407.265,,,,,,,,,,,,,,,,,,,,,
63,0,60.0425,29.2906,407.054,,,,,,,,,,,,,,,,,,,,,
64,0,61.5217,29.5733,407.245,,,,,,,,,,,,,,,,,,,,,
65,0,62.925,29.9924,407.131,,,,,,,,,,,,,,,,,,,,,
66,0,64.2199,30.2187,407.35,,,,,,,,,,,,,,,,,,,,,
67,0,66.1233,30.1025,407.467,,,,,,,,,,,,,,,,,,,,,
68,0,67.5504,30.1983,407.605,,,,,,,,,,,,,,,,,,,,,
69,0,69.2524,30.0616,407.462,,,,,,,,,,,,,,,,,,,,,
70,0,70.8295,29.907,407.436,,,,,,,,,,,,,,,,,,,,,
71,0,72.5242,29.5613,407.168,,,,,,,,,,,,,,,,,,,,,
72,0,73.8976,29.1261,407.134,,,,,,,,,,,,,,,,,,,,,
73,0,75.6027,28.5045,406.855,,,,,,,,,,,,,,,,,,,,,
74,0,76.7616,27.7657,406.818,,,,,,,,,,,,,,,,,,,,,
75,0,78.2413,26.8702,406.505,,,,,,,,,,,,,,,,,,,,,
76,0,79.4346,26.0218,406.44,,,,,,,,,,,,,,,,,,,,,
77,0,80.8832,24.9363,406.129,,,,,,,,,,,,,,,,,,,,,
78,0,82.1505,23.8646,405.801,,,,,,,,,,,,,,,,,,,,,
79,0,83.4619,22.3989,405.865,,,,,,,,,,,,,,,,,,,,,
80,0,84.6331,21.0684,405.484,,,,,,,,,,,,,,,,,,,,,
81,0,85.9206,19.8128,405.371,,,,,,,,,,,,,,,,,,,,,
82,0,87.1294,18.6773,405.015,,,,,,,,,,,,,,,,,,,,,
83,0,88.5787,17.2006,404.86,,,,,,,,,,,,,,,,,,,,,
84,0,89.7496,16.1212,404.74,,,,,,,,,,,,,,,,,,,,,
85,0,91.3452,14.9369,404.35,,,,,,,,,,,,,,,,,,,,,
86,0,92.7717,13.9725,404.232,,,,,,,,,,,,,,,,,,,,,
87,0,94.3671,13.1563,403.932,,,,,,,,,,,,,,,,,,,,,
88,0,95.7993,12.3941,403.72,,,,,,,,,,,,,,,,,,,,,
89,0,97.434,11.6515,403.497,,,,,,,,,,,,,,,,,,,,,
90,0,98.7873,11.1722,403.49,,,,,,,,,,,,,,,,,,,,,
91,0,100.355,10.6589,403.348,,,,,,,,,,,,,,,,,,,,,
92,0,101.41,10.4225,403.307,,,,,,,,,,,,,,,,,,,,,
93,0,102.772,10.0407,402.914,,,,,,,,,,,,,,,,,,,,,
94,0,103.778,9.84915,402.786,,,,,,,,,,,,,,,,,,,,,
95,0,104.782,9.71274,402.62,,,,,,,,,,,,,,,,,,,,,
96,0,105.677,9.69282,401.945,,,,,,,,,,,,,,,,,,,,,
97,0,106.267,9.5476,401.638,,,,,,,,,,,,,,,,,,,,,
98,0,106.405,9.4839,401.39,,,,,,,,,,,,,,,,,,,,,
99,0,106.422,9.3302,401.051,,,,,,,,,,,,,,,,,,,,,
100,0,106.356,9.17687,400.801,,,,,,,,,,,,,,,,,,,,,
101,0,106.134,9.19454,400.414,,,,,,,,,,,,,,,,,,,,,
102,0,105.722,9.33621,400.059,,,,,,,,,,,,,,,,,,,,,
103,0,105.434,9.42403,399.775,,,,,,,,,,,,,,,,,,,,,
104,0,104.935,9.65442,399.584,,,,,,,,,,,,,,,,,,,,,
105,0,104.662,9.86972,399.276,,,,,,,,,,,,,,,,,,,,,
106,0,104.159,10.5132,398.706,,,,,,,,,,,,,,,,,,,,,
107,0,103.828,11.0915,398.161,,,,,,,,,,,,,,,,,,,,,
108,0,103.626,11.4936,397.808,,,,,,,,,,,,,,,,,,,,,
109,0,103.493,11.9744,397.569,,,,,,,,,,,,,,,,,,,,,
110,0,103.209,12.6855,397.301,,,,,,,,,,,,,,,,,,,,,
111,0,103.155,13.2959,397.255,,,,,,,,,,,,,,,,,,,,,
112,0,103.163,14.0163,397.05,,,,,,,,,,,,,,,,,,,,,
113,0,103.376,14.9919,396.475,,,,,,,,,,,,,,,,,,,,,
114,0,103.551,15.915,396.08,,,,,,,,,,,,,,,,,,,,,
115,0,103.856,16.5713,396.129,,,,,,,,,,,,,,,,,,,,,
116,0,104.245,17.2518,395.939,,,,,,,,,,,,,,,,,,,,,
117,0,104.52,18.0145,395.77,,,,,,,,,,,,,,,,,,,,,
118,0,104.975,18.7788,395.315,,,,,,,,,,,,,,,,,,,,,
119,0,105.649,19.3331,394.937,,,,,,,,,,,,,,,,,,,,,
120,0,105.692,19.958,394.731,,,,,,,,,,,,,,,,,,,,,
121,0,105.816,20.3635,394.512,,,,,,,,,,,,,,,,,,,,,
122,0,105.94,20.6572,394.297,,,,,,,,,,,,,,,,,,,,,
123,0,106.303,20.7817,394.08,,,,,,,,,,,,,,,,,,,,,
124,0,106.682,20.9399,393.775,,,,,,,,,,,,,,,,,,,,,
125,0,107.068,21.21,393.305,,,,,,,,,,,,,,,,,,,,,
126,0,107.579,21.452,392.892,,,,,,,,,,,,,,,,,,,,,
127,0,108.447,21.5211,392.574,,,,,,,,,,,,,,,,,,,,,
128,0,109.111,21.6524,392.286,,,,,,,,,,,,,,,,,,,,,
129,0,109.787,21.8444,392.026,,,,,,,,,,,,,,,,,,,,,
130,0,110.36,21.9895,391.674,,,,,,,,,,,,,,,,,,,,,
131,0,111.005,22.2487,391.102,,,,,,,,,,,,,,,,,,,,,
132,0,111.324,22.5472,390.516,,,,,,,,,,,,,,,,,,,,,
133,0,111.574,22.8524,390.152,,,,,,,,,,,,,,,,,,,,,
134,0,111.623,23.0888,389.937,,,,,,,,,,,,,,,,,,,,,
135,0,111.79,23.3562,389.612,,,,,,,,,,,,,,,,,,,,,
136,0,111.825,23.6818,389.304,,,,,,,,,,,,,,,,,,,,,
137,0,111.967,24.0488,388.975,,,,,,,,,,,,,,,,,,,,,
138,0,112.026,24.3925,388.764,,,,,,,,,,,,,,,,,,,,,
139,0,112.194,24.8,388.307,,,,,,,,,,,,,,,,,,,,,
140,0,112.447,25.2608,387.954,,,,,,,,,,,,,,,,,,,,,
141,0,112.653,25.544,387.875,,,,,,,,,,,,,,,,,,,,,
142,0,113.023,25.9651,387.72,,,,,,,,,,,,,,,,,,,,,
143,0,113.593,26.4957,387.529,,,,,,,,,,,,,,,,,,,,,
144,0,113.891,27.0755,387.453,,,,,,,,,,,,,,,,,,,,,
145,0,114.392,27.5458,387.462,,,,,,,,,,,,,,,,,,,,,
146,0,114.942,28.2825,387.204,,,,,,,,,,,,,,,,,,,,,
