,timestamp,subject,excercise,datatype,X,Y,Z
1,0.01,test_calibration,cal1,vicon,,,
2,0.02,test_calibration,cal1,vicon,,,
3,0.03,test_calibration,cal1,vicon,,,
4,0.04,test_calibration,cal1,vicon,,,
5,0.05,test_calibration,cal1,vicon,,,
6,0.06,test_calibration,cal1,vicon,,,
7,0.07,test_calibration,cal1,vicon,,,
8,0.08,test_calibration,cal1,vicon,,,
9,0.09,test_calibration,cal1,vicon,,,
10,0.1,test_calibration,cal1,vicon,,,
11,0.11,test_calibration,cal1,vicon,,,
12,0.12,test_calibration,cal1,vicon,,,
13,0.13,test_calibration,cal1,vicon,,,
14,0.14,test_calibration,cal1,vicon,,,
15,0.15,test_calibration,cal1,vicon,,,
16,0.16,test_calibration,cal1,vicon,,,
17,0.17,test_calibration,cal1,vicon,,,
18,0.18,test_calibration,cal1,vicon,,,
19,0.19,test_calibration,cal1,vicon,,,
20,0.2,test_calibration,cal1,vicon,,,
21,0.21,test_calibration,cal1,vicon,,,
22,0.22,test_calibration,cal1,vicon,,,
23,0.23,test_calibration,cal1,vicon,,,
24,0.24,test_calibration,cal1,vicon,,,
25,0.25,test_calibration,cal1,vicon,,,
26,0.26,test_calibration,cal1,vicon,,,
27,0.27,test_calibration,cal1,vicon,,,
28,0.28,test_calibration,cal1,vicon,,,
29,0.29,test_calibration,cal1,vicon,,,
30,0.3,test_calibration,cal1,vicon,,,
31,0.31,test_calibration,cal1,vicon,,,
32,0.32,test_calibration,cal1,vicon,,,
33,0.33,test_calibration,cal1,vicon,,,
34,0.34,test_calibration,cal1,vicon,,,
35,0.35,test_calibration,cal1,vicon,,,
36,0.36,test_calibration,cal1,vicon,,,
37,0.37,test_calibration,cal1,vicon,,,
38,0.38,test_calibration,cal1,vicon,,,
39,0.39,test_calibration,cal1,vicon,,,
40,0.4,test_calibration,cal1,vicon,,,
41,0.41,test_calibration,cal1,vicon,,,
42,0.42,test_calibration,cal1,vicon,,,
43,0.43,test_calibration,cal1,vicon,,,
44,0.44,test_calibration,cal1,vicon,,,
45,0.45,test_calibration,cal1,vicon,,,
46,0.46,test_calibration,cal1,vicon,,,
47,0.47,test_calibration,cal1,vicon,,,
48,0.48,test_calibration,cal1,vicon,,,
49,0.49,test_calibration,cal1,vicon,,,
50,0.5,test_calibration,cal1,vicon,,,
51,0.51,test_calibration,cal1,vicon,,,
52,0.52,test_calibration,cal1,vicon,,,
53,0.53,test_calibration,cal1,vicon,,,
54,0.54,test_calibration,cal1,vicon,,,
55,0.55,test_calibration,cal1,vicon,,,
56,0.56,test_calibration,cal1,vicon,,,
57,0.57,test_calibration,cal1,vicon,,,
58,0.58,test_calibration,cal1,vicon,,,
59,0.59,test_calibration,cal1,vicon,,,
60,0.6,test_calibration,cal1,vicon,,,
61,0.61,test_calibration,cal1,vicon,,,
62,0.62,test_calibration,cal1,vicon,,,
63,0.63,test_calibration,cal1,vicon,,,
64,0.64,test_calibration,cal1,vicon,,,
65,0.65,test_calibration,cal1,vicon,,,
66,0.66,test_calibration,cal1,vicon,,,
67,0.67,test_calibration,cal1,vicon,,,
68,0.68,test_calibration,cal1,vicon,,,
69,0.69,test_calibration,cal1,vicon,,,
70,0.7,test_calibration,cal1,vicon,,,
71,0.71,test_calibration,cal1,vicon,,,
