timestamp,subject,excercise,datatype,X,Y,Z
0.01,test_calibration,cal3,vicon,,,
0.02,test_calibration,cal3,vicon,,,
0.03,test_calibration,cal3,vicon,,,
0.04,test_calibration,cal3,vicon,,,
0.05,test_calibration,cal3,vicon,,,
0.06,test_calibration,cal3,vicon,,,
0.07,test_calibration,cal3,vicon,,,
0.08,test_calibration,cal3,vicon,,,
0.09,test_calibration,cal3,vicon,,,
0.1,test_calibration,cal3,vicon,,,
0.11,test_calibration,cal3,vicon,,,
0.12,test_calibration,cal3,vicon,,,
0.13,test_calibration,cal3,vicon,,,
0.14,test_calibration,cal3,vicon,,,
0.15,test_calibration,cal3,vicon,,,
0.16,test_calibration,cal3,vicon,,,
0.17,test_calibration,cal3,vicon,,,
0.18,test_calibration,cal3,vicon,,,
0.19,test_calibration,cal3,vicon,,,
0.2,test_calibration,cal3,vicon,,,
0.21,test_calibration,cal3,vicon,,,
0.22,test_calibration,cal3,vicon,,,
0.23,test_calibration,cal3,vicon,,,
0.24,test_calibration,cal3,vicon,,,
0.25,test_calibration,cal3,vicon,,,
0.26,test_calibration,cal3,vicon,,,
0.27,test_calibration,cal3,vicon,,,
0.28,test_calibration,cal3,vicon,,,
0.29,test_calibration,cal3,vicon,,,
0.3,test_calibration,cal3,vicon,,,
0.31,test_calibration,cal3,vicon,,,
0.32,test_calibration,cal3,vicon,,,
0.33,test_calibration,cal3,vicon,,,
0.34,test_calibration,cal3,vicon,,,
0.35,test_calibration,cal3,vicon,,,
0.36,test_calibration,cal3,vicon,,,
0.37,test_calibration,cal3,vicon,,,
0.38,test_calibration,cal3,vicon,,,
0.39,test_calibration,cal3,vicon,,,
0.4,test_calibration,cal3,vicon,,,
0.41,test_calibration,cal3,vicon,,,
0.42,test_calibration,cal3,vicon,,,
0.43,test_calibration,cal3,vicon,,,
0.44,test_calibration,cal3,vicon,,,
0.45,test_calibration,cal3,vicon,,,
0.46,test_calibration,cal3,vicon,,,
0.47,test_calibration,cal3,vicon,,,
0.48,test_calibration,cal3,vicon,,,
0.49,test_calibration,cal3,vicon,,,
0.5,test_calibration,cal3,vicon,,,
0.51,test_calibration,cal3,vicon,,,
0.52,test_calibration,cal3,vicon,,,
0.53,test_calibration,cal3,vicon,,,
0.54,test_calibration,cal3,vicon,,,
0.55,test_calibration,cal3,vicon,,,
0.56,test_calibration,cal3,vicon,,,
0.57,test_calibration,cal3,vicon,,,
0.58,test_calibration,cal3,vicon,,,
0.59,test_calibration,cal3,vicon,,,
0.6,test_calibration,cal3,vicon,,,
0.61,test_calibration,cal3,vicon,,,
0.62,test_calibration,cal3,vicon,,,
0.63,test_calibration,cal3,vicon,,,
0.64,test_calibration,cal3,vicon,,,
0.65,test_calibration,cal3,vicon,,,
0.66,test_calibration,cal3,vicon,,,
0.67,test_calibration,cal3,vicon,,,
0.68,test_calibration,cal3,vicon,,,
0.69,test_calibration,cal3,vicon,,,
0.7,test_calibration,cal3,vicon,,,
0.71,test_calibration,cal3,vicon,,,
0.72,test_calibration,cal3,vicon,,,
0.73,test_calibration,cal3,vicon,,,
0.74,test_calibration,cal3,vicon,,,
0.75,test_calibration,cal3,vicon,,,
0.76,test_calibration,cal3,vicon,,,
0.77,test_calibration,cal3,vicon,,,
0.78,test_calibration,cal3,vicon,,,
0.79,test_calibration,cal3,vicon,,,
0.8,test_calibration,cal3,vicon,,,
0.81,test_calibration,cal3,vicon,,,
0.82,test_calibration,cal3,vicon,,,
0.83,test_calibration,cal3,vicon,,,
0.84,test_calibration,cal3,vicon,,,
0.85,test_calibration,cal3,vicon,,,
0.86,test_calibration,cal3,vicon,,,
0.87,test_calibration,cal3,vicon,,,
0.88,test_calibration,cal3,vicon,,,
0.89,test_calibration,cal3,vicon,,,
0.9,test_calibration,cal3,vicon,,,
0.91,test_calibration,cal3,vicon,,,
0.92,test_calibration,cal3,vicon,,,
0.93,test_calibration,cal3,vicon,,,
0.94,test_calibration,cal3,vicon,,,
0.95,test_calibration,cal3,vicon,,,
0.96,test_calibration,cal3,vicon,,,
0.97,test_calibration,cal3,vicon,,,
0.98,test_calibration,cal3,vicon,,,
0.99,test_calibration,cal3,vicon,,,
1.0,test_calibration,cal3,vicon,,,
1.01,test_calibration,cal3,vicon,,,
1.02,test_calibration,cal3,vicon,,,
1.03,test_calibration,cal3,vicon,,,
1.04,test_calibration,cal3,vicon,,,
1.05,test_calibration,cal3,vicon,,,
1.06,test_calibration,cal3,vicon,,,
1.07,test_calibration,cal3,vicon,,,
1.08,test_calibration,cal3,vicon,,,
1.09,test_calibration,cal3,vicon,,,
1.1,test_calibration,cal3,vicon,,,
1.11,test_calibration,cal3,vicon,,,
1.12,test_calibration,cal3,vicon,,,
1.13,test_calibration,cal3,vicon,,,
1.14,test_calibration,cal3,vicon,,,
1.15,test_calibration,cal3,vicon,,,
1.16,test_calibration,cal3,vicon,,,
1.17,test_calibration,cal3,vicon,,,
1.18,test_calibration,cal3,vicon,,,
1.19,test_calibration,cal3,vicon,,,
1.2,test_calibration,cal3,vicon,,,
1.21,test_calibration,cal3,vicon,,,
1.22,test_calibration,cal3,vicon,,,
1.23,test_calibration,cal3,vicon,,,
1.24,test_calibration,cal3,vicon,,,
1.25,test_calibration,cal3,vicon,,,
